Team,Rank,WP,AP,SP,OPR,DPR,CCWM,W,L,T
1100A,1,19,80,125,66.8,-2,68.8,8,0,0
30410V,2,17,70,142,56.2,-4.2,60.4,8,0,0
1740X,3,16,70,114,50.9,-6.2,57.1,7,1,0
30597E,4,16,60,164,45.9,-9.6,55.6,8,0,0
3723A,5,14,60,139,23.1,8.3,14.8,6,2,0
30597J,6,14,50,159,51.4,9.5,41.8,6,2,0
14533A,7,12,55,188,44.3,9.2,35.1,6,2,0
6724T,8,12,40,190,33.7,26.2,7.6,6,2,0
30597X,9,11,50,212,39.2,12.6,26.5,5,3,0
3723X,10,11,40,164,21.9,25.3,-3.4,5,3,0
87546B,11,11,35,186,24.5,17.9,6.6,5,3,0
30410X,12,10,60,126,44.3,1.4,42.9,5,3,0
87546D,13,10,40,183,32.7,7.6,25,5,3,0
87546E,14,9,40,232,29.7,31.6,-1.9,4,4,0
34022A,15,8,50,179,16.4,26.9,-10.4,4,4,0
71910F,16,8,45,209,31.1,16.7,14.4,4,4,0
59644E,17,8,45,176,16.9,20.6,-3.8,4,4,0
71910B,18,8,40,105,18.5,4.8,13.7,4,4,0
14533B,19,8,30,191,11.9,19.7,-7.7,4,4,0
59644B,20,8,30,186,13.7,14,-0.3,4,4,0
59644F,21,8,30,171,10,23.3,-13.3,4,4,0
30597F,22,8,30,168,12.6,23.6,-11.1,4,4,0
3723Y,23,8,30,146,21.5,16.7,4.8,4,4,0
36057B,24,8,25,177,20.6,25.8,-5.2,4,4,0
71910E,25,8,20,79,7.9,27.4,-19.5,4,4,0
30597B,26,7,50,191,17.2,26.4,-9.2,3,5,0
16863A,27,7,45,156,17.3,20.1,-2.8,3,5,0
87546M,28,7,45,96,16,26.5,-10.5,3,5,0
96485A,29,7,35,170,10.6,28.8,-18.3,3,5,0
65845G,30,7,30,132,14.9,29.2,-14.3,3,5,0
36057A,31,7,25,139,15.6,28.8,-13.1,3,5,0
87546C,32,6,50,203,14.1,35.8,-21.7,3,5,0
59644G,33,6,45,207,14.7,26.3,-11.6,3,5,0
59644D,34,6,45,170,7.1,28,-20.9,3,5,0
6724C,35,6,35,184,13.3,42.7,-29.4,3,5,0
6724A,36,6,30,157,18.6,25.2,-6.6,3,5,0
30597C,37,6,25,178,11.3,28.8,-17.5,3,5,0
30410W,38,6,20,190,5.5,23.6,-18.2,3,5,0
30410U,39,6,20,114,3.9,38.4,-34.5,3,5,0
59644C,40,6,5,216,8,35.1,-27.2,3,5,0
87546F,41,4,20,158,9.8,38.4,-28.7,2,6,0
78984C,42,2,15,115,-1.9,41.8,-43.7,1,7,0
78984B,43,2,10,128,10.2,24.1,-13.9,1,7,0
78984A,44,0,10,72,0,56.4,-56.5,0,8,0
